application_date,decision_date,country,visa_type,processing_office
18-02-2024,27-02-2024,Canada,Work,New York
11-03-2024,18-04-2024,UK,Dependent,New York
29-04-2024,05-06-2024,UK,Student,Berlin
23-07-2024,08-10-2024,USA,Student,Sydney
15-06-2024,29-09-2024,Canada,Tourist,Toronto
19-12-2024,23-03-2025,Germany,Student,Berlin
24-11-2024,06-01-2025,India,Dependent,Toronto
10-02-2024,24-05-2024,India,Work,London
10-08-2024,07-10-2024,India,Tourist,Sydney
30-11-2024,23-03-2025,Germany,Student,Sydney
19-11-2024,11-01-2025,India,Work,Berlin
22-01-2024,07-03-2024,Germany,Dependent,New York
16-06-2024,24-08-2024,Australia,Tourist,New York
26-01-2024,26-04-2024,Australia,Business,Toronto
31-10-2024,17-01-2025,Germany,Student,New York
09-08-2024,20-09-2024,Canada,Tourist,New York
21-06-2024,06-07-2024,Canada,Dependent,Sydney
26-01-2024,10-04-2024,Canada,Work,Delhi
23-07-2024,30-09-2024,Canada,Tourist,New York
03-09-2024,18-11-2024,USA,Business,Toronto
29-11-2024,15-02-2025,USA,Dependent,Berlin
25-09-2024,31-10-2024,USA,Student,London
08-08-2024,23-09-2024,Australia,Dependent,Delhi
27-02-2024,27-05-2024,Canada,Business,London
27-06-2024,26-07-2024,UK,Work,Berlin
01-12-2024,09-12-2024,UK,Tourist,London
11-11-2024,01-03-2025,Canada,Dependent,New York
13-08-2024,23-08-2024,USA,Tourist,Sydney
10-07-2024,03-08-2024,Australia,Student,Delhi
28-01-2024,04-03-2024,Germany,Tourist,London
08-01-2024,25-02-2024,Australia,Student,London
18-08-2024,22-10-2024,India,Work,New York
02-10-2024,03-11-2024,USA,Dependent,Berlin
12-05-2024,26-07-2024,Canada,Dependent,Sydney
13-03-2024,14-06-2024,Australia,Student,Toronto
25-10-2024,22-02-2025,Australia,Dependent,Delhi
10-05-2024,05-06-2024,India,Work,New York
22-12-2024,16-03-2025,UK,Student,Toronto
01-12-2024,07-12-2024,India,Business,Sydney
18-05-2024,15-08-2024,Australia,Work,Delhi
10-01-2024,21-02-2024,Australia,Business,New York
13-07-2024,21-09-2024,Australia,Student,London
05-09-2024,29-12-2024,Germany,Dependent,Delhi
05-04-2024,05-05-2024,Germany,Business,Berlin
30-12-2024,06-01-2025,India,Tourist,Berlin
05-06-2024,22-07-2024,Canada,Business,Sydney
21-03-2024,28-03-2024,UK,Work,London
16-11-2024,29-12-2024,USA,Dependent,London
01-02-2024,26-04-2024,UK,Business,Delhi
11-10-2024,20-11-2024,USA,Tourist,London
20-07-2024,17-10-2024,USA,Student,Sydney
14-07-2024,23-09-2024,Australia,Dependent,Sydney
17-12-2024,20-01-2025,Canada,Tourist,Berlin
19-03-2024,17-05-2024,UK,Dependent,London
17-08-2024,30-10-2024,USA,Tourist,Sydney
11-03-2024,29-05-2024,Germany,Tourist,New York
07-06-2024,08-09-2024,Australia,Dependent,New York
08-08-2024,19-11-2024,USA,Dependent,New York
11-06-2024,24-06-2024,Germany,Dependent,Sydney
01-03-2024,29-03-2024,UK,Tourist,Sydney
16-01-2024,27-04-2024,UK,Business,Toronto
04-06-2024,04-08-2024,Australia,Work,New York
06-04-2024,24-04-2024,USA,Tourist,Delhi
09-11-2024,31-01-2025,UK,Dependent,Berlin
09-11-2024,13-12-2024,Germany,Tourist,New York
17-12-2024,25-12-2024,UK,Student,Sydney
01-09-2024,23-09-2024,Germany,Dependent,Toronto
30-12-2024,28-03-2025,UK,Tourist,Toronto
08-09-2024,12-11-2024,USA,Tourist,New York
25-04-2024,04-05-2024,Canada,Student,London
30-07-2024,01-09-2024,Australia,Tourist,New York
03-02-2024,01-03-2024,Canada,Dependent,Toronto
18-12-2024,02-02-2025,Canada,Tourist,Toronto
26-07-2024,07-11-2024,India,Dependent,Sydney
13-07-2024,18-10-2024,UK,Business,Berlin
19-10-2024,08-01-2025,Germany,Dependent,Sydney
26-12-2024,10-04-2025,India,Dependent,Delhi
19-08-2024,21-10-2024,India,Tourist,Berlin
02-10-2024,26-11-2024,Australia,Student,Berlin
17-07-2024,26-09-2024,Australia,Student,New York
29-05-2024,29-07-2024,Canada,Work,London
24-08-2024,19-09-2024,Canada,Work,Berlin
28-01-2024,30-04-2024,Germany,Tourist,Toronto
26-11-2024,27-01-2025,India,Dependent,Delhi
02-04-2024,15-07-2024,Germany,Dependent,New York
20-07-2024,15-09-2024,UK,Business,Delhi
01-04-2024,03-06-2024,Germany,Tourist,Toronto
16-02-2024,24-03-2024,UK,Tourist,Sydney
04-03-2024,20-03-2024,India,Business,Sydney
04-07-2024,19-07-2024,Germany,Business,Sydney
18-09-2024,10-12-2024,USA,Business,Berlin
13-07-2024,23-07-2024,USA,Work,Berlin
03-12-2024,28-03-2025,USA,Tourist,New York
01-04-2024,13-07-2024,Australia,Student,Toronto
06-06-2024,20-07-2024,Australia,Business,London
16-11-2024,14-12-2024,India,Tourist,New York
02-01-2024,26-03-2024,UK,Student,Toronto
11-09-2024,03-01-2025,Canada,Dependent,Delhi
07-11-2024,04-03-2025,Canada,Tourist,New York
28-10-2024,25-01-2025,Canada,Business,Toronto
14-08-2024,29-08-2024,Germany,Dependent,Delhi
05-05-2024,30-08-2024,Germany,Work,Berlin
17-11-2024,01-02-2025,USA,Student,New York
16-03-2024,28-03-2024,Australia,Work,Delhi
15-03-2024,07-07-2024,India,Dependent,Berlin
01-06-2024,18-07-2024,India,Student,Delhi
01-08-2024,28-08-2024,USA,Work,Berlin
04-12-2024,07-03-2025,Australia,Dependent,Berlin
14-10-2024,10-11-2024,Canada,Dependent,London
19-01-2024,04-02-2024,UK,Work,London
13-07-2024,30-10-2024,India,Business,Berlin
03-02-2024,16-03-2024,Canada,Tourist,Delhi
21-12-2024,15-04-2025,UK,Work,Berlin
30-07-2024,10-10-2024,USA,Tourist,Berlin
30-01-2024,17-02-2024,Germany,Dependent,Delhi
04-09-2024,10-12-2024,Australia,Dependent,Sydney
27-05-2024,25-07-2024,Germany,Work,London
26-09-2024,13-12-2024,Germany,Work,New York
10-11-2024,26-01-2025,Canada,Dependent,Sydney
19-11-2024,26-01-2025,Canada,Tourist,Berlin
29-04-2024,02-08-2024,UK,Tourist,Delhi
01-03-2024,09-03-2024,Canada,Student,Sydney
16-04-2024,01-08-2024,Germany,Business,Toronto
24-01-2024,11-03-2024,UK,Dependent,Sydney
18-04-2024,24-04-2024,Australia,Tourist,Sydney
24-05-2024,30-06-2024,India,Work,London
16-09-2024,30-11-2024,UK,Student,Delhi
17-12-2024,02-02-2025,UK,Business,Sydney
18-10-2024,09-01-2025,India,Tourist,New York
18-06-2024,07-10-2024,UK,Business,Toronto
19-01-2024,15-04-2024,USA,Business,New York
17-11-2024,19-01-2025,Germany,Work,Toronto
30-07-2024,07-11-2024,India,Dependent,London
16-10-2024,21-01-2025,Australia,Work,Berlin
01-10-2024,08-10-2024,USA,Dependent,Sydney
18-06-2024,03-10-2024,UK,Student,New York
23-05-2024,12-09-2024,India,Work,Toronto
16-11-2024,28-01-2025,USA,Dependent,Berlin
18-07-2024,15-08-2024,Germany,Student,London
27-12-2024,20-04-2025,UK,Student,London
30-07-2024,15-08-2024,Canada,Tourist,London
19-08-2024,08-12-2024,UK,Tourist,Berlin
03-06-2024,30-06-2024,India,Work,Delhi
13-04-2024,29-04-2024,Canada,Dependent,Delhi
04-09-2024,02-01-2025,Germany,Tourist,New York
23-06-2024,28-08-2024,Australia,Dependent,London
16-06-2024,09-07-2024,India,Dependent,Sydney
08-03-2024,08-04-2024,Australia,Student,Toronto
17-07-2024,21-10-2024,Germany,Student,Delhi
08-06-2024,18-06-2024,Australia,Dependent,Delhi
19-06-2024,22-08-2024,India,Student,Berlin
03-12-2024,13-03-2025,UK,Student,Berlin
08-06-2024,02-09-2024,USA,Work,New York
08-04-2024,19-05-2024,UK,Dependent,London
13-08-2024,11-11-2024,India,Work,New York
21-03-2024,30-04-2024,India,Student,Berlin
13-10-2024,22-12-2024,India,Tourist,Berlin
28-06-2024,11-09-2024,UK,Work,New York
26-12-2024,12-04-2025,UK,Dependent,New York
28-03-2024,11-04-2024,UK,Dependent,London
03-10-2024,03-12-2024,India,Tourist,Delhi
29-08-2024,27-12-2024,Australia,Student,Delhi
15-07-2024,26-07-2024,India,Business,Toronto
01-04-2024,05-07-2024,Germany,Dependent,Sydney
19-12-2024,23-03-2025,Canada,Dependent,London
08-06-2024,25-07-2024,USA,Dependent,Delhi
26-08-2024,11-11-2024,USA,Student,Sydney
27-08-2024,13-09-2024,Canada,Work,Sydney
25-11-2024,28-02-2025,Canada,Business,New York
24-04-2024,17-05-2024,Germany,Work,London
19-07-2024,16-08-2024,Australia,Work,London
20-08-2024,26-10-2024,India,Student,Toronto
27-02-2024,16-04-2024,Canada,Business,New York
24-05-2024,04-09-2024,UK,Dependent,Berlin
06-03-2024,15-05-2024,India,Business,Sydney
24-02-2024,10-04-2024,Germany,Student,London
29-09-2024,02-12-2024,Canada,Dependent,Toronto
02-05-2024,25-07-2024,USA,Dependent,New York
03-09-2024,27-10-2024,India,Work,New York
21-12-2024,11-03-2025,Canada,Business,Berlin
24-06-2024,06-09-2024,Australia,Tourist,New York
05-12-2024,05-03-2025,India,Dependent,Toronto
28-02-2024,18-05-2024,Germany,Business,London
11-10-2024,28-10-2024,Canada,Tourist,London
26-07-2024,08-08-2024,Germany,Student,Sydney
01-11-2024,12-02-2025,Canada,Work,Toronto
26-11-2024,23-02-2025,India,Student,New York
12-03-2024,08-07-2024,Germany,Student,New York
04-12-2024,28-12-2024,Canada,Dependent,London
18-07-2024,09-10-2024,Germany,Business,New York
15-04-2024,16-07-2024,UK,Work,Berlin
13-12-2024,25-01-2025,Canada,Work,Delhi
25-10-2024,31-10-2024,Germany,Dependent,Toronto
06-03-2024,28-06-2024,UK,Student,London
08-10-2024,19-10-2024,India,Dependent,London
26-02-2024,20-06-2024,UK,Student,New York
09-08-2024,11-11-2024,Germany,Business,Sydney
11-06-2024,15-09-2024,Canada,Business,Toronto
10-08-2024,23-10-2024,USA,Tourist,Toronto
12-03-2024,10-04-2024,Germany,Business,London
01-08-2024,,UK,Tourist,New York
06-01-2024,20-01-2024,Australia,Student,New York
06-09-2024,04-12-2024,Canada,Tourist,Delhi
11-03-2024,06-06-2024,Canada,Business,Sydney
05-11-2024,03-01-2025,Germany,Tourist,Toronto
17-09-2024,15-11-2024,Germany,Business,Toronto
30-06-2024,02-08-2024,USA,Business,Berlin
04-01-2024,22-03-2024,Canada,Tourist,Sydney
13-09-2024,22-10-2024,Canada,Dependent,Berlin
06-07-2024,15-07-2024,India,Dependent,Toronto
26-12-2024,16-02-2025,India,Dependent,Toronto
19-12-2024,03-01-2025,USA,Dependent,London
26-08-2024,05-11-2024,India,Dependent,Berlin
15-02-2024,22-03-2024,Canada,Student,Sydney
20-11-2024,02-02-2025,Germany,Work,Berlin
28-01-2024,27-05-2024,UK,Dependent,Delhi
28-08-2024,30-10-2024,Germany,Business,Berlin
18-06-2024,15-08-2024,UK,Work,London
26-03-2024,04-04-2024,Australia,Dependent,Sydney
04-06-2024,10-09-2024,Germany,Work,Delhi
18-11-2024,22-01-2025,Germany,Tourist,Berlin
27-01-2024,25-04-2024,UK,Dependent,Delhi
26-05-2024,01-08-2024,India,Tourist,Berlin
09-02-2024,01-06-2024,UK,Work,New York
11-11-2024,21-12-2024,UK,Work,Delhi
27-02-2024,19-05-2024,USA,Dependent,Sydney
18-03-2024,15-06-2024,Canada,Work,New York
13-05-2024,26-08-2024,Australia,Tourist,Toronto
02-04-2024,18-07-2024,Germany,Student,London
13-02-2024,07-03-2024,Germany,Tourist,Toronto
30-07-2024,10-11-2024,Canada,Tourist,Sydney
13-08-2024,18-11-2024,Australia,Tourist,New York
22-10-2024,28-01-2025,UK,Student,Sydney
15-05-2024,24-08-2024,India,Student,New York
25-08-2024,20-10-2024,Canada,Work,Toronto
29-09-2024,02-11-2024,Canada,Business,Toronto
14-05-2024,06-06-2024,Germany,Business,Delhi
27-05-2024,11-09-2024,Canada,Business,Sydney
10-06-2024,21-08-2024,Australia,Student,Delhi
29-09-2024,24-12-2024,UK,Business,Berlin
29-11-2024,23-03-2025,UK,Work,London
16-05-2024,31-08-2024,India,Work,Sydney
26-10-2024,20-12-2024,Canada,Tourist,Sydney
10-12-2024,28-02-2025,USA,Dependent,London
12-12-2024,15-03-2025,USA,Work,Berlin
06-01-2024,06-04-2024,India,Student,Delhi
29-07-2024,15-08-2024,Germany,Student,Sydney
16-08-2024,04-10-2024,USA,Work,London
08-04-2024,17-04-2024,India,Dependent,Delhi
30-01-2024,20-04-2024,Australia,Tourist,Berlin
22-11-2024,12-12-2024,Australia,Student,Delhi
05-11-2024,26-11-2024,Canada,Dependent,New York
26-02-2024,30-05-2024,USA,Work,London
27-08-2024,24-11-2024,India,Business,London
06-08-2024,07-11-2024,Australia,Work,London
23-03-2024,05-07-2024,India,Work,Delhi
14-07-2024,06-09-2024,UK,Student,London
15-05-2024,11-06-2024,Canada,Student,Toronto
12-04-2024,04-07-2024,Canada,Tourist,Sydney
08-09-2024,26-09-2024,USA,Dependent,Toronto
21-04-2024,13-07-2024,Australia,Student,Toronto
12-05-2024,30-05-2024,India,Student,Delhi
19-10-2024,25-01-2025,UK,Business,Delhi
11-09-2024,05-10-2024,Australia,Student,Delhi
06-12-2024,29-01-2025,UK,Tourist,Sydney
17-06-2024,15-10-2024,Canada,Dependent,Delhi
20-09-2024,24-12-2024,Canada,Business,Toronto
25-07-2024,15-11-2024,Australia,Student,Berlin
25-04-2024,30-04-2024,Canada,Business,Delhi
17-10-2024,29-12-2024,UK,Work,Sydney
04-06-2024,30-07-2024,India,Student,London
30-09-2024,22-01-2025,UK,Student,Toronto
28-05-2024,23-08-2024,USA,Tourist,Berlin
21-01-2024,15-03-2024,Australia,Tourist,London
22-12-2024,14-02-2025,India,Work,Toronto
13-02-2024,10-06-2024,Australia,Business,Sydney
07-04-2024,29-04-2024,India,Tourist,Delhi
30-10-2024,04-12-2024,Canada,Business,Delhi
03-10-2024,29-12-2024,UK,Business,Berlin
18-08-2024,25-08-2024,India,Work,Delhi
21-06-2024,04-10-2024,Australia,Student,Toronto
01-03-2024,02-04-2024,Australia,Dependent,Toronto
13-12-2024,08-04-2025,Germany,Tourist,Sydney
23-10-2024,26-11-2024,India,Student,Sydney
13-03-2024,19-05-2024,Australia,Student,Toronto
12-11-2024,22-11-2024,USA,Tourist,Delhi
29-03-2024,22-06-2024,India,Work,Delhi
21-08-2024,12-11-2024,USA,Dependent,Delhi
24-02-2024,14-03-2024,Canada,Dependent,Berlin
22-04-2024,05-05-2024,USA,Business,London
13-12-2024,07-02-2025,UK,Student,Sydney
21-10-2024,03-01-2025,USA,Work,New York
24-01-2024,13-04-2024,USA,Work,Delhi
02-03-2024,11-04-2024,USA,Business,New York
22-12-2024,12-02-2025,Germany,Tourist,Toronto
04-05-2024,22-07-2024,India,Tourist,Delhi
19-11-2024,10-02-2025,Canada,Tourist,Delhi
06-09-2024,21-09-2024,India,Student,New York
15-02-2024,20-05-2024,Australia,Dependent,London
01-08-2024,02-11-2024,Canada,Tourist,New York
14-03-2024,08-06-2024,UK,Dependent,Toronto
29-07-2024,02-09-2024,USA,Dependent,Sydney
20-01-2024,10-04-2024,USA,Business,Berlin
15-02-2024,10-05-2024,UK,Work,Toronto
03-01-2024,19-03-2024,USA,Tourist,Delhi
28-09-2024,15-10-2024,Germany,Work,Berlin
16-09-2024,19-10-2024,Canada,Tourist,London
28-01-2024,26-02-2024,India,Tourist,Sydney
30-08-2024,06-11-2024,USA,Tourist,Sydney
23-01-2024,03-02-2024,Australia,Work,London
17-04-2024,16-06-2024,UK,Work,Berlin
20-08-2024,30-08-2024,India,Student,Berlin
31-03-2024,25-04-2024,India,Business,Berlin
29-02-2024,14-03-2024,USA,Business,Berlin
23-10-2024,08-12-2024,Canada,Tourist,Sydney
12-12-2024,10-04-2025,UK,Tourist,Delhi
15-06-2024,19-07-2024,India,Tourist,Sydney
30-07-2024,23-11-2024,USA,Business,New York
07-02-2024,12-04-2024,Germany,Business,Delhi
11-08-2024,03-09-2024,USA,Dependent,Toronto
01-04-2024,25-05-2024,UK,Tourist,Toronto
09-04-2024,03-07-2024,UK,Work,New York
20-06-2024,11-07-2024,India,Dependent,Delhi
23-05-2024,14-06-2024,India,Business,Toronto
02-08-2024,28-08-2024,UK,Tourist,London
05-11-2024,30-11-2024,Australia,Dependent,New York
22-10-2024,05-01-2025,USA,Student,Toronto
24-09-2024,30-11-2024,USA,Dependent,Toronto
24-08-2024,03-10-2024,India,Business,Sydney
06-05-2024,11-06-2024,UK,Business,Berlin
23-04-2024,20-08-2024,Germany,Tourist,Berlin
03-01-2024,01-03-2024,India,Student,Toronto
15-09-2024,24-09-2024,Canada,Dependent,Toronto
02-09-2024,19-12-2024,Australia,Student,Toronto
10-09-2024,15-10-2024,India,Dependent,Delhi
20-12-2024,28-03-2025,Canada,Tourist,New York
02-07-2024,13-08-2024,USA,Student,Delhi
02-09-2024,01-12-2024,UK,Tourist,Sydney
23-08-2024,15-12-2024,Germany,Dependent,Delhi
20-08-2024,23-10-2024,USA,Business,New York
08-07-2024,01-10-2024,Canada,Student,Sydney
06-02-2024,31-03-2024,Australia,Work,Berlin
17-01-2024,28-02-2024,Canada,Work,Sydney
09-11-2024,22-01-2025,Germany,Tourist,Sydney
11-02-2024,05-05-2024,UK,Student,Berlin
11-12-2024,31-01-2025,India,Student,Toronto
06-07-2024,08-09-2024,Germany,Student,London
06-07-2024,02-08-2024,Australia,Dependent,Sydney
04-02-2024,20-04-2024,Australia,Tourist,New York
20-06-2024,25-07-2024,Germany,Student,Sydney
01-09-2024,09-12-2024,Germany,Tourist,Sydney
25-04-2024,10-06-2024,UK,Work,Berlin
14-12-2024,11-02-2025,UK,Student,Delhi
09-07-2024,27-08-2024,Canada,Business,Berlin
26-09-2024,15-01-2025,India,Business,Sydney
29-09-2024,29-12-2024,Germany,Work,Toronto
13-11-2024,04-01-2025,Australia,Student,New York
22-08-2024,07-09-2024,India,Business,New York
27-05-2024,10-06-2024,India,Tourist,London
27-02-2024,31-05-2024,USA,Business,New York
14-04-2024,24-06-2024,Australia,Student,London
01-08-2024,01-11-2024,Germany,Tourist,Toronto
26-06-2024,23-08-2024,Canada,Student,London
06-04-2024,19-04-2024,India,Tourist,Berlin
26-11-2024,12-01-2025,Canada,Dependent,London
01-12-2024,26-02-2025,UK,Business,Berlin
06-12-2024,10-03-2025,Germany,Dependent,Toronto
22-08-2024,04-10-2024,Germany,Tourist,London
28-03-2024,12-07-2024,UK,Tourist,Toronto
09-07-2024,19-08-2024,India,Tourist,London
25-05-2024,27-07-2024,USA,Dependent,New York
30-12-2024,13-03-2025,UK,Tourist,New York
28-12-2024,31-03-2025,Australia,Tourist,New York
01-05-2024,20-05-2024,India,Work,Berlin
05-03-2024,05-05-2024,UK,Work,New York
15-04-2024,30-06-2024,Australia,Student,Sydney
11-06-2024,30-07-2024,USA,Work,Toronto
03-10-2024,28-10-2024,Germany,Work,Delhi
13-01-2024,09-03-2024,Canada,Tourist,Toronto
12-06-2024,06-07-2024,India,Dependent,Berlin
18-06-2024,13-09-2024,Australia,Work,Toronto
28-05-2024,06-09-2024,Germany,Tourist,Berlin
14-08-2024,01-10-2024,Australia,Student,Sydney
02-09-2024,31-12-2024,India,Tourist,Sydney
09-10-2024,28-10-2024,UK,Student,Toronto
12-11-2024,04-03-2025,USA,Business,London
17-02-2024,03-04-2024,India,Dependent,Sydney
09-04-2024,27-06-2024,Germany,Tourist,London
10-04-2024,17-04-2024,India,Dependent,Toronto
12-12-2024,12-03-2025,India,Dependent,Toronto
09-04-2024,15-06-2024,UK,Dependent,Berlin
18-09-2024,30-09-2024,Australia,Work,Toronto
16-03-2024,20-06-2024,Canada,Work,Toronto
09-07-2024,15-07-2024,UK,Work,London
06-06-2024,07-08-2024,Germany,Student,New York
15-08-2024,22-11-2024,Canada,Business,London
24-03-2024,10-07-2024,Australia,Business,Sydney
31-07-2024,22-08-2024,Germany,Dependent,Delhi
14-03-2024,14-04-2024,UK,Business,Berlin
20-06-2024,03-07-2024,Germany,Business,Delhi
04-01-2024,01-03-2024,Australia,Work,Toronto
30-03-2024,14-06-2024,Canada,Dependent,New York
12-04-2024,10-05-2024,Canada,Work,Berlin
08-09-2024,18-09-2024,UK,Dependent,London
09-09-2024,24-11-2024,Australia,Business,New York
14-01-2024,29-04-2024,India,Tourist,London
02-06-2024,27-08-2024,Australia,Business,Delhi
30-11-2024,28-02-2025,UK,Business,New York
08-09-2024,10-12-2024,Australia,Tourist,Delhi
02-03-2024,12-06-2024,UK,Business,Delhi
02-11-2024,10-02-2025,UK,Dependent,Toronto
16-10-2024,15-12-2024,UK,Business,Sydney
02-03-2024,23-04-2024,Germany,Dependent,Delhi
12-05-2024,06-06-2024,Germany,Student,New York
12-06-2024,15-08-2024,Australia,Tourist,London
24-03-2024,04-04-2024,UK,Work,Toronto
21-11-2024,10-01-2025,India,Work,London
28-09-2024,23-12-2024,India,Dependent,New York
17-11-2024,15-12-2024,India,Dependent,New York
05-10-2024,20-11-2024,UK,Work,London
16-12-2024,20-03-2025,Australia,Work,Delhi
30-09-2024,18-12-2024,UK,Tourist,Delhi
11-03-2024,21-05-2024,UK,Work,Toronto
29-07-2024,15-09-2024,USA,Student,New York
20-03-2024,28-05-2024,USA,Tourist,Berlin
10-11-2024,11-02-2025,Germany,Dependent,Sydney
09-10-2024,11-01-2025,India,Business,Toronto
09-02-2024,28-02-2024,USA,Student,Toronto
27-06-2024,10-08-2024,Australia,Work,New York
14-08-2024,10-12-2024,Germany,Dependent,London
29-03-2024,02-07-2024,UK,Student,Sydney
01-03-2024,03-04-2024,USA,Tourist,Sydney
26-04-2024,09-06-2024,USA,Tourist,New York
10-02-2024,09-04-2024,Australia,Student,Delhi
10-01-2024,23-04-2024,Canada,Business,Delhi
10-04-2024,28-04-2024,India,Dependent,Berlin
31-01-2024,05-04-2024,India,Work,Delhi
03-02-2024,17-03-2024,Australia,Student,Delhi
04-03-2024,25-05-2024,USA,Dependent,New York
04-04-2024,03-07-2024,UK,Student,Delhi
15-03-2024,06-07-2024,Australia,Work,Berlin
27-06-2024,16-08-2024,USA,Dependent,Sydney
09-11-2024,14-12-2024,Germany,Dependent,Delhi
20-02-2024,08-06-2024,Germany,Student,Berlin
21-04-2024,26-07-2024,USA,Work,New York
02-10-2024,,Australia,Student,New York
15-09-2024,06-01-2025,Australia,Business,London
23-12-2024,13-03-2025,USA,Business,Sydney
24-02-2024,23-03-2024,UK,Business,Toronto
19-04-2024,28-06-2024,USA,Business,Delhi
09-06-2024,29-06-2024,Canada,Student,Berlin
10-03-2024,17-05-2024,UK,Work,Berlin
21-01-2024,05-02-2024,UK,Business,Delhi
16-07-2024,26-08-2024,Canada,Dependent,Sydney
08-06-2024,08-09-2024,Canada,Tourist,Berlin
27-07-2024,07-09-2024,Canada,Tourist,Delhi
31-08-2024,30-11-2024,UK,Tourist,Delhi
11-12-2024,16-02-2025,Australia,Student,Toronto
12-08-2024,22-10-2024,Australia,Student,Delhi
14-03-2024,08-05-2024,Canada,Dependent,Delhi
27-03-2024,09-04-2024,UK,Tourist,London
12-04-2024,02-07-2024,Canada,Student,New York
05-08-2024,10-11-2024,Canada,Work,Sydney
24-10-2024,12-01-2025,UK,Business,London
31-08-2024,29-11-2024,Germany,Business,Toronto
18-09-2024,28-10-2024,USA,Business,Delhi
03-03-2024,09-04-2024,Canada,Business,New York
17-11-2024,09-12-2024,India,Student,Sydney
28-01-2024,18-05-2024,India,Business,Sydney
14-01-2024,10-02-2024,Canada,Dependent,Sydney
16-06-2024,10-07-2024,UK,Dependent,Berlin
19-02-2024,31-05-2024,India,Dependent,Toronto
26-08-2024,25-09-2024,UK,Business,Toronto
15-09-2024,23-10-2024,Germany,Work,Berlin
06-10-2024,13-10-2024,India,Business,Delhi
15-07-2024,15-09-2024,UK,Business,Toronto
23-08-2024,01-09-2024,India,Tourist,Berlin
03-12-2024,28-03-2025,UK,Tourist,Toronto
08-08-2024,30-08-2024,UK,Business,Toronto
26-02-2024,13-05-2024,Australia,Business,Sydney
,10-01-2025,Germany,Dependent,Toronto
31-08-2024,15-11-2024,USA,Dependent,Delhi
19-07-2024,26-08-2024,Canada,Dependent,Toronto
11-11-2024,10-02-2025,UK,Work,London
01-02-2024,09-02-2024,Germany,Student,New York
06-07-2024,24-08-2024,Australia,Dependent,Delhi
16-11-2024,03-01-2025,Canada,Student,Toronto
25-06-2024,14-08-2024,Canada,Work,Delhi
04-12-2024,09-01-2025,USA,Tourist,Sydney
08-06-2024,27-08-2024,India,Student,London
28-02-2024,16-04-2024,USA,Student,Berlin
15-06-2024,24-06-2024,Canada,Business,Berlin
20-09-2024,18-01-2025,Canada,Work,Delhi
22-12-2024,25-02-2025,Germany,Student,London
12-07-2024,28-09-2024,Canada,Work,Berlin
20-02-2024,07-06-2024,Canada,Student,Sydney
11-12-2024,11-01-2025,UK,Business,Berlin
07-12-2024,24-01-2025,USA,Dependent,London
05-07-2024,03-09-2024,USA,Business,Sydney
08-02-2024,30-05-2024,Germany,Tourist,London
15-05-2024,26-05-2024,UK,Dependent,Toronto
25-04-2024,18-07-2024,Australia,Student,Sydney
23-10-2024,09-11-2024,Germany,Work,London
04-02-2024,21-04-2024,Germany,Business,Toronto
17-04-2024,05-06-2024,India,Work,Berlin
02-06-2024,01-08-2024,Australia,Dependent,London
12-04-2024,09-06-2024,Canada,Work,Berlin
20-09-2024,22-11-2024,Australia,Dependent,New York
10-01-2024,04-04-2024,Australia,Dependent,New York
22-10-2024,29-12-2024,USA,Business,London
22-11-2024,03-02-2025,Germany,Business,Berlin
16-11-2024,28-11-2024,Germany,Tourist,London
24-08-2024,16-09-2024,USA,Tourist,Sydney
16-12-2024,28-03-2025,UK,Business,Toronto
12-06-2024,05-10-2024,India,Tourist,Toronto
16-05-2024,03-09-2024,UK,Tourist,London
17-12-2024,08-03-2025,USA,Business,New York
28-02-2024,23-03-2024,USA,Student,New York
07-06-2024,10-08-2024,Canada,Dependent,Toronto
04-08-2024,30-10-2024,India,Tourist,New York
19-05-2024,10-06-2024,India,Work,London
03-12-2024,16-02-2025,USA,Student,Sydney
05-09-2024,19-12-2024,India,Student,Delhi
09-06-2024,30-08-2024,UK,Student,Toronto
05-07-2024,03-10-2024,Australia,Student,Toronto
12-03-2024,16-04-2024,India,Dependent,Sydney
13-09-2024,03-10-2024,Germany,Dependent,Berlin
08-05-2024,15-07-2024,India,Tourist,Berlin
03-03-2024,14-06-2024,UK,Work,Berlin
18-07-2024,03-11-2024,Australia,Tourist,Toronto
21-04-2024,14-05-2024,India,Tourist,New York
20-05-2024,20-07-2024,Canada,Work,Berlin
29-01-2024,05-04-2024,Germany,Work,Sydney
27-02-2024,12-04-2024,Germany,Business,Toronto
15-12-2024,20-01-2025,UK,Tourist,London
31-08-2024,05-12-2024,UK,Work,Delhi
26-11-2024,26-03-2025,Germany,Student,Sydney
05-12-2024,22-03-2025,India,Tourist,London
09-10-2024,02-12-2024,UK,Work,Sydney
03-03-2024,15-05-2024,USA,Business,Toronto
05-01-2024,29-02-2024,UK,Work,Delhi
30-04-2024,12-06-2024,USA,Tourist,Toronto
19-11-2024,03-01-2025,Australia,Business,Delhi
20-05-2024,12-09-2024,India,Business,Toronto
30-07-2024,19-11-2024,UK,Business,Delhi
23-03-2024,25-06-2024,UK,Dependent,Delhi
29-06-2024,26-08-2024,Germany,Dependent,Sydney
16-06-2024,18-08-2024,Australia,Student,Delhi
24-11-2024,19-02-2025,USA,Business,Sydney
10-03-2024,15-03-2024,Canada,Tourist,Sydney
05-06-2024,20-07-2024,Germany,Student,Delhi
